Player ID,BB%,BAA,TBF,H,BB,Outs,K,GB%,CMD,STF,VEL
senzaan01,0.077,0.358,495,159,38,298,55,0.455,73,25,56
palmqca01,0.143,0.321,175,45,25,105,27,0.308,41,40,63
houckta01,0.084,0.318,203,57,17,129,32,0.490,70,41,62
willitr01,0.056,0.31,373,106,21,246,65,0.330,84,44,64
kingjo01,0.068,0.311,192,55,13,124,24,0.626,78,44,57
bidoos01,0.094,0.31,265,70,25,170,38,0.325,65,44,60
gordoco01,0.041,0.307,296,85,12,199,60,0.320,91,45,68
freelky01,0.058,0.307,486,138,28,320,78,0.415,83,45,62
marquge01,0.077,0.307,454,126,35,293,73,0.365,73,45,62
eflinza01,0.042,0.304,309,88,13,208,50,0.402,91,46,61
rodried05,0.088,0.306,480,131,42,307,105,0.335,68,46,72
carraca01,0.071,0.302,197,55,14,128,32,0.358,76,47,62
